age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,log_duration,age_group
0.48148148148148145,housemaid,married,basic.4y,no,no,no,telephone,may,mon,0.40527950310559,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.8607403070034712,Middle Age (45-59)
0.4938271604938272,services,married,high.school,unknown,no,no,telephone,may,mon,0.23136645962732919,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.7745310582723021,Middle Age (45-59)
0.24691358024691357,services,married,high.school,no,yes,no,telephone,may,mon,0.35093167701863354,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.8385747577886872,Adult (30-44)
0.2839506172839506,admin.,married,basic.6y,no,no,no,telephone,may,mon,0.23447204968944096,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.7765784712029214,Adult (30-44)
0.48148148148148145,services,married,high.school,no,no,yes,telephone,may,mon,0.4767080745341615,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.8857440201528173,Middle Age (45-59)
0.34567901234567905,services,married,basic.9y,unknown,no,no,telephone,may,mon,0.3074534161490683,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.8182253840111526,Middle Age (45-59)
0.5185185185185184,admin.,married,professional.course,no,no,no,telephone,may,mon,0.21583850931677018,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.7638663184479937,Middle Age (45-59)
0.29629629629629634,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,0.33695652173913043,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.832321335411865,Adult (30-44)
0.08641975308641975,technician,single,professional.course,no,yes,no,telephone,may,mon,0.5900621118012422,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.9186225735766824,Youth (18-29)
0.09876543209876543,services,single,high.school,no,yes,no,telephone,may,mon,0.07763975155279502,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.6077714480326004,Youth (18-29)
0.29629629629629634,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,0.08540372670807453,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.6222284644457707,Adult (30-44)
0.09876543209876543,services,single,high.school,no,yes,no,telephone,may,mon,0.3447204968944099,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.8358266424506352,Youth (18-29)
0.14814814814814814,blue-collar,single,high.school,no,no,yes,telephone,may,mon,0.21273291925465837,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.7616421445874241,Youth (18-29)
0.4938271604938272,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,0.4549689440993788,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.878553076325197,Middle Age (45-59)
0.2222222222222222,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,0.22670807453416147,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.7714081759709219,Adult (30-44)
0.4567901234567901,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,0.27018633540372666,0.0,1.0,0.0,nonexistent,0.9375,0.6987529228371017,0.6025104602510458,0.9573792790750397,0.8597353497164448,no,0.7983592720959418,Middle Age (45-59)
